Site Name;State Terr;Oper Stat;
Subase Kings Bay GA;Georgia;Active;
NAS Fallon NV;Nevada;Active;
Kawaihae Mil Reserve;Hawaii;Active;
Naval Magazine;Guam;Active;
Tinker AFB;Oklahoma;Active;
Ellsworth AFB Site 2;South Dakota;Active;
Homestead ARB;Florida;Active;
Lackland Training Annex;Texas;Active;
Yukon Weapons Range;Alaska;Active;
Jacksonville IAP;Florida;Active;
Site 1 Cantonement Area;Ohio;Active;
Martin State Airport;Maryland;Active;
Salt Lake City IAP;Utah;Active;
NG Carville Gillis Long Center;Louisiana;Active;
NG Springfield AVCRAD (New);Missouri;Active;
NG Alcantra Armory Complex;Alaska;Active;
NG Camp Adair Corvallis;Oregon;Active;
NG Kalaeloa;Hawaii;Active;
Aiea;Hawaii;Active;
Ewa;Hawaii;Active;
Sewage Evaporation Pond;California;Active;
Moody AFB;Georgia;Active;
Tac X Stagefield AL;Alabama;Active;
Hunter Army Airfield;Georgia;Active;
Apra Heights;Guam;Active;
Andy South;Guam;Active;
Marysville WA;Washington;Active;
Laughlin AFB Aux 1;Texas;Active;
Luke Waste Annex;Arizona;Active;
Great Falls IAP;Montana;Active;
Hector IAP;North Dakota;Active;
Stewart IAP;New York;Active;
Burlington IAP;Vermont;Active;
Canyon Lake Recreation Annex;Texas;Active;
NG Fort Wolters;Texas;Active;
NG Beauregard Training Range;Louisiana;Active;
NG ITC Camp San Luis Obisbo;California;Active;
NG Gulfport AVCRAD;Mississippi;Active;
NG Camp Swift;Texas;Active;
JBAB Anacostia Bolling;District of Columbia;Active;
Honolulu;Hawaii;Active;
NAS JRB New Orleans LA;Louisiana;Active;
NOLF Spencer;Florida;Active;
NOTU Cape Canaveral;Florida;Active;
NAVWPNSYSTRAFAC Boardman;Oregon;Active;
NAVSTA Everett WA;Washington;Active;
NAS Whidbey Island WA;Washington;Active;
Fort Carson;Colorado;Active;
Radford AAP;Virginia;Active;
Pearl City Annex;Hawaii;Active;
Yorktown Fuel Depot;Virginia;Active;
Waterfront;New Jersey;Active;
Westover ARB;Massachusetts;Active;
Cheyenne Regional Airport;Wyoming;Active;
Fort Smith Map;Arkansas;Active;
Memphis IAP;Tennessee;Active;
Springfield Beckley;Ohio;Active;
Birmingham Airport;Alabama;Active;
NG Camp Navajo;Arizona;Active;
NG HMO3 (Snake Creek TS);Florida;Active;
NG CTC Fort Custer Trng Center;Michigan;Active;
NG West Camp;South Dakota;Active;
Naval Hospital;Guam;Active;
Brooks AFB;Texas;Active;
Dover AFB;Delaware;Active;
Tobyhanna Army Depot;Pennsylvania;Active;
MCAS Yuma;Arizona;Active;
NNSY St Helena;Virginia;Active;
GL Camp JPJ;Illinois;Active;
Corry Station;Florida;Active;
Clear Air Force Station;Alaska;Active;
Joe Foss Field;South Dakota;Active;
Des Moines IAP;Iowa;Active;
EWVRA Shepherd Field;West Virginia;Active;
NG Camp Hartell;Connecticut;Active;
NG Martindale - AASF;Texas;Active;
NG Marseilles (MTA Tng Area);Illinois;Active;
NG Hollis Plains Training Site;Maine;Active;
NG Thunderbird Youth Academy;Oklahoma;Active;
NG Fort McClellan ARNG Tng Center;Alabama;Active;
NG CTA Camp Mccain;Mississippi;Active;
NG Camp Smith Tng Site;New York;Active;
Harmon;Guam;Active;
NSA Andersen;Guam;Active;
Dania Beach (Lauderdale);Florida;Active;
Parks Reserve Forces Tng Area;California;Active;
Highbluff Stagefield AL;Alabama;Active;
Kilauea Mil Reserve;Hawaii;Active;
W Silver Spring Complex;Wisconsin;Active;
Defense Distrib Depot Susq;Pennsylvania;Active;
Fort Detrick;Maryland;Active;
Devens Reserve Forces Tng Area;Massachusetts;Active;
Gould Island RI;Rhode Island;Active;
Saufley Field;Florida;Active;
Dyess AFB;Texas;Active;
Vance AFB;Oklahoma;Active;
Sioux Gateway Airport (ANG);Iowa;Active;
General Wayne A Downing Peoria IAP;Illinois;Active;
NG Camp Fogarty Tng Site;Rhode Island;Active;
NG Bergstrom - (Abia);Texas;Active;
NG Biak Training Center COUTES;Oregon;Active;
NG Nashville;Tennessee;Active;
NG Papago Military Reservation;Arizona;Active;
NG Indianapolis 38 ID;Indiana;Active;
NG CTC Camp Dawson-Kingwood;West Virginia;Active;
NOLF Brewton;Alabama;Active;
Amphib Base Coronado West;California;Active;
Balboa Hospital;California;Active;
NAVWPNSTA Seal Beach;California;Active;
Norco;California;Active;
Randsburg Wash Area;California;Active;
Verona Defense Fuel Support Point;New York;Active;
F E Warren AFB;Wyoming;Active;
NARL Barrow Camp Tr1;Alaska;Active;
Sioux Gateway Airport (ANG);Iowa;Active;
Shell Basefield AL;Alabama;Active;
Fort George G Meade;Maryland;Active;
Scranton AAP;Pennsylvania;Active;
Watervliet Arsenal;New York;Active;
MCLB Albany;Georgia;Active;
Former NTC;California;Active;
NSA Saratoga Springs NY;New York;Active;
Pentagon Building Site;Virginia;Active;
Fresno Yosemite International ANG;California;Active;
St Louis Air Force Station;Missouri;Active;
NG Rickenbacker (MTA);Ohio;Active;
NG Camp Withycombe Clackamas;Oregon;Active;
NG TS AFRC Los Alamitos;California;Active;
NG MTA Limestone Hills;Montana;Active;
NG Kansas;Kansas;Active;
Waipahu;Hawaii;Active;
Dredgers Key-Sigsbee;Florida;Active;
NAVBASE San Diego CA;California;Active;
Haarp Research Station;Alaska;Active;
Us Army Joint Sys Mfg CtrLima;Ohio;Active;
Grand Prairie Reserve Complex;Texas;Active;
NAVSTA Norfolk VA;Virginia;Active;
Webster Field;Maryland;Active;
Dobbins ARB;Georgia;Active;
Columbus AFB;Mississippi;Active;
Bangor IAP;Maine;Active;
McGhee Tyson Airport;Tennessee;Active;
Gen Mitchell IAP;Wisconsin;Active;
W K Kellogg;Michigan;Active;
NG Jackson Bks;Louisiana;Active;
NG Shelbyville;Indiana;Active;
NG Camp Ravenna Joint Military Training Center;Ohio;Active;
NG Rochester NGA and OMS 2;Minnesota;Active;
NG Youngstown Tng Site;New York;Active;
NG Ethan Allen AFB MTA;Vermont;Active;
NG Camp Rapid;South Dakota;Active;
Kamokala Ridge;Hawaii;Active;
JBPHH Pearl Harbor HI;Hawaii;Active;
Vieques West PR;Puerto Rico;Active;
Trumbo Point Annex;Florida;Active;
Santa Cruz Island;California;Active;
Tumon Tank Farm;Guam;Active;
Lake Of The Ozarks Recreation;Missouri;Active;
OLF Atlantic;North Carolina;Active;
Sea Plane Base;Washington;Active;
Kegelman Air Force Auxiliary Field;Oklahoma;Active;
Pittsburgh IAP (ANG);Pennsylvania;Active;
Smoky Hill ANG Range;Kansas;Active;
Seguin Auxiliary Field;Texas;Active;
NG Orchard Combat Training Center;Idaho;Active;
NG Raleigh;North Carolina;Active;
NG TS Ike Skelton Jefferson City;Missouri;Active;
NG Grand Island AASF/RC;Nebraska;Active;
NG Lawrenceville;New Jersey;Active;
Silver Strand South;California;Active;
Wahiawa;Hawaii;Active;
Dandan;Guam;Active;
SPAWARS South;California;Active;
Rome Laboratory;New York;Active;
Aberdeen Proving Ground;Maryland;Active;
Brown 4b Stagefield AL;Alabama;Active;
Toth Stagefield AL;Alabama;Active;
Fort Hamilton;New York;Active;
Naval Weapons Station Earle NJ;New Jersey;Active;
NAVSUPPACT Hampton Roads VA;Virginia;Active;
Det Philadelphia PA;Pennsylvania;Active;
NAS Meridian MS;Mississippi;Active;
NAVSUPPACT Midsouth Memphis TN;Tennessee;Active;
Bradley IAP;Connecticut;Active;
New Castle Airport;Delaware;Active;
Pease ANGB;New Hampshire;Active;
Savannah/Hilton Head IAP;Georgia;Active;
MacDill AFB;Florida;Active;
NG TS Clark Natl Forest Wapp;Missouri;Active;
NG Rosemount NG Armory;Minnesota;Active;
Holtville Carrier LS;California;Active;
West Bank;Louisiana;Active;
NOLF Summerdale;Alabama;Active;
Santa Rosa Parcel B;Guam;Active;
Sheppard AFB;Texas;Active;
OLF Coupeville;Washington;Active;
Mountain Home AFB;Idaho;Active;
Beale AFB;California;Active;
Fort Campbell KY;Kentucky;Active;
Rock Island Arsenal;Illinois;Active;
Jacksonville FL Maint;Florida;Active;
Puuloa-Oahu;Hawaii;Active;
Fort Adams RI;Rhode Island;Active;
NAVSTA Mayport FL;Florida;Active;
NAS Corpus Christi TX;Texas;Active;
Hurlburt Field;Florida;Active;
Minn-St Paul;Minnesota;Active;
Will Rogers World Airport;Oklahoma;Active;
NG Fort Chaffee MTC;Arkansas;Active;
NG Picacho Aviation TS;Arizona;Active;
NG MTA Camp Edwards;Massachusetts;Active;
NG MTA Camp Fretterd;Maryland;Active;
NALF Goliad;Texas;Active;
Naval Hospital;Florida;Active;
Gambrills;Maryland;Active;
Navy Annex;California;Active;
Potts Tank Farm;Guam;Active;
Keesler AFB;Mississippi;Active;
Shipyard Puget Sound;Washington;Active;
Stinson 5AB Stagefield AL;Alabama;Active;
Dugway Proving Ground;Utah;Active;
US Army Soldier Systems Center Natick;Massachusetts;Active;
Yermo Area;California;Active;
Craney Island;Virginia;Active;
Naval Weapons Station Yorktown;Virginia;Active;
JEBLCFS East;Virginia;Active;
Creech AFB;Nevada;Active;
Malmstrom AFB;Montana;Active;
Minot AFB;North Dakota;Active;
Isabela Puerto Rico;Puerto Rico;Active;
Little Rock AFB;Arkansas;Active;
Bellows;Hawaii;Active;
Jackson IAP Thompson Field;Mississippi;Active;
Otis ANG Base;Massachusetts;Active;
Rickenbacker;Ohio;Active;
Selfridge ANGB;Michigan;Active;
Volk ANGB;Wisconsin;Active;
Duluth IAP;Minnesota;Active;
Toledo/Exp Airport;Ohio;Active;
NG Camp Niantic;Connecticut;Active;
NG MTC-H Camp Roberts;California;Active;
NG St Cloud NG Armory;Minnesota;Active;
NG Baton Rouge AFRC;Louisiana;Active;
NG Camp Grafton;North Dakota;Active;
NG Spring City Readiness Center;Pennsylvania;Active;
NG MTA Gunpowder Military Reservation;Maryland;Active;
NG Sioux Falls Benson Rd Complex;South Dakota;Active;
Pearl City;Hawaii;Active;
Marbo;Guam;Active;
Edwards AFB;California;Active;
Naval Observatory;District of Columbia;Active;
Fort Leonard Wood;Missouri;Active;
Detroit Arsenal;Michigan;Active;
Fort Greely;Alaska;Active;
Cape Cod Air Station;Massachusetts;Active;
Norwalk 2;California;Active;
Atlantic City IAP;New Jersey;Active;
Yeager Airport;West Virginia;Active;
NG Atlanta - Confederate Ave;Georgia;Active;
NG Collegeville FMS 4;Pennsylvania;Active;
NG Buckeye TS;Arizona;Active;
NG Oglethorpe Armory;Georgia;Active;
NG River Road Training Site;Delaware;Active;
NG Edgemeade TS Mtn Home;Idaho;Active;
NG Norman CSMS;Oklahoma;Active;
NG Westminster Training Site;Vermont;Active;
NG VTS Catoosa;Georgia;Active;
NG VTS Smyrna;Tennessee;Active;
NG Saint George/FMS 5B;Utah;Active;
NAF El Centro;California;Active;
OLF Whitehouse;Florida;Active;
Naval Support Activity Orlando;Florida;Active;
Grand Forks AFB;North Dakota;Active;
Ozol Defense Fuel Support Point;California;Active;
Pinon Canyon;Colorado;Active;
Skelly Stagefield AL;Alabama;Active;
Tripler Army Medical Center;Hawaii;Active;
Oak Grove;North Carolina;Active;
JNTEXPBASE Little Creek FS VA;Virginia;Active;
NAVMEDCEN Portsmouth VA;Virginia;Active;
NAVSUPPACT Bethesda MD;Maryland;Active;
Kirtland;New Mexico;Active;
Travis Annex  2;California;Active;
Luis Munoz Marin IAP;Puerto Rico;Active;
Camp Bullis Training Annex;Texas;Active;
NG Duluth NG Armory;Minnesota;Active;
NG General Lucius D Clay National Guard Center;Georgia;Active;
NG Camp Sherman Joint Training Center;Ohio;Active;
NG McNary Field Salem AASF;Oregon;Active;
NG Jackson County AFRC;West Virginia;Active;
NG Havre De Grace Military Res;Maryland;Active;
Target B-19;Nevada;Active;
Port Hueneme;California;Active;
Dixie Target Range;Texas;Active;
Holston AAP;Tennessee;Active;
Cairns Basefield AL;Alabama;Active;
